iter	Logloss
0	0.6668402953
1	0.6385696538
2	0.6167222745
3	0.6029624585
4	0.590024633
5	0.5758257832
6	0.5681107697
7	0.5601129053
8	0.5541701247
9	0.5484825757
10	0.5409750177
11	0.534651984
12	0.5310013231
13	0.5279270067
14	0.5254665007
15	0.5240437102
16	0.5209569017
17	0.5187836033
18	0.5163244163
19	0.5144339423
20	0.5134412671
21	0.5107408664
22	0.5092846534
23	0.507825553
24	0.5060960279
25	0.5048402033
26	0.5021052283
27	0.5003501816
28	0.4988350421
29	0.497728302
30	0.4952459285
31	0.4944448173
32	0.4930534303
33	0.492174255
34	0.4906157159
35	0.4891529927
36	0.4880544385
37	0.4873490703
38	0.4858442719
39	0.483496906
40	0.4818420611
41	0.4796683961
42	0.4786963956
43	0.4773212622
44	0.4752504317
45	0.4738179096
46	0.4722675472
47	0.4707427142
48	0.4697931417
49	0.4689474065
50	0.467931854
51	0.4661571016
52	0.4654181599
53	0.464548577
54	0.4639173158
55	0.4624811323
56	0.4607697826
57	0.459499123
58	0.4580426478
59	0.4574618359
60	0.4563685105
61	0.4553839059
62	0.4543745546
63	0.4529569273
64	0.4516926352
65	0.4505519716
66	0.4495806189
67	0.4490177199
68	0.4479814403
69	0.4475596393
70	0.4465889517
71	0.4455991851
72	0.4442883433
73	0.4431687763
74	0.4418525918
75	0.4412830858
76	0.4399232077
77	0.438935462
78	0.4382366417
79	0.4365665717
80	0.4354540392
81	0.4344529384
82	0.4337275071
83	0.432025767
84	0.4308786824
85	0.4303305017
86	0.4287395852
87	0.4279634236
88	0.4266875318
89	0.4259603447
90	0.4253260491
91	0.4243150008
92	0.4232697257
93	0.4224549181
94	0.4219280998
95	0.4210066176
96	0.4200976475
97	0.4184775368
98	0.4177548712
99	0.4173381251
100	0.4164788278
101	0.4154847403
102	0.4147698243
103	0.4139193096
104	0.4133813395
105	0.4125179077
106	0.411879084
107	0.4113373133
108	0.4101098903
109	0.4092857929
110	0.4086286373
111	0.4076084528
112	0.4069677449
113	0.4056863161
114	0.4046933704
115	0.4038005211
116	0.4033987193
117	0.402460375
118	0.4011964838
119	0.4006048258
120	0.4004731831
121	0.3995763523
122	0.3982575365
123	0.3978001037
124	0.3973471553
