iter	Passed	Remaining
0	152	18881
1	182	11232
2	191	7785
3	197	5961
4	201	4838
5	204	4063
6	209	3528
7	213	3129
8	218	2812
9	222	2561
10	227	2353
11	231	2181
12	235	2031
13	240	1905
14	245	1800
15	249	1701
16	254	1614
17	258	1535
18	262	1465
19	266	1401
20	271	1344
21	275	1292
22	280	1243
23	284	1198
24	289	1156
25	293	1116
26	297	1079
27	301	1044
28	305	1011
29	309	981
30	314	952
31	318	925
32	322	899
33	327	875
34	331	851
35	335	829
36	339	808
37	343	787
38	348	768
39	352	749
40	357	731
41	361	713
42	365	696
43	369	680
44	373	664
45	377	649
46	382	634
47	386	619
48	390	606
49	395	592
50	399	579
51	403	566
52	408	554
53	412	542
54	416	530
55	420	518
56	424	506
57	429	495
58	433	484
59	437	473
60	441	463
61	445	452
62	450	443
63	454	433
64	458	423
65	463	413
66	467	404
67	471	395
68	475	386
69	479	376
70	483	368
71	488	359
72	492	350
73	496	342
74	501	334
75	505	325
76	509	317
77	514	310
78	518	302
79	523	294
80	527	286
81	531	278
82	535	270
83	539	263
84	543	255
85	548	248
86	552	241
87	556	234
88	560	226
89	565	219
90	569	212
91	573	205
92	577	198
93	582	191
94	586	185
95	590	178
96	594	171
97	598	164
98	602	158
99	608	152
100	612	145
101	617	139
102	622	132
103	627	126
104	633	120
105	638	114
106	643	108
107	648	102
108	654	96
109	659	89
110	664	83
111	669	77
112	675	71
113	680	65
114	685	59
115	691	53
116	696	47
117	701	41
118	706	35
119	710	29
120	714	23
121	718	17
122	722	11
123	726	5
124	730	0
